 ,Area,Mean,Min,Max
265,911.922,255,255,255
266,784.851,255,255,255
267,194.344,255,255,255
268,403.638,255,255,255
269,762.427,255,255,255
270,867.074,255,255,255
271,373.739,255,255,255
272,306.466,255,255,255
273,508.285,255,255,255
274,665.255,255,255,255
275,194.344,255,255,255
276,829.700,255,255,255
277,478.386,255,255,255
278,351.314,255,255,255
279,254.142,255,255,255
280,597.982,255,255,255
281,156.970,255,255,255
282,411.113,255,255,255
283,351.314,255,255,255
284,1330.510,255,255,255
285,859.599,255,255,255
286,919.397,255,255,255
287,239.193,255,255,255
288,1367.884,255,255,255
289,418.587,255,255,255
290,754.952,255,255,255
291,411.113,255,255,255
292,1651.925,255,255,255
293,1248.287,255,255,255
294,956.771,255,255,255
295,441.012,255,255,255
296,470.911,255,255,255
297,642.831,255,255,255
298,515.759,255,255,255
299,500.810,255,255,255
300,1046.468,255,255,255
301,485.860,255,255,255
302,388.688,255,255,255
303,1412.732,255,255,255
304,799.801,255,255,255
305,1024.044,255,255,255
306,441.012,255,255,255
307,209.294,255,255,255
308,373.739,255,255,255
309,381.213,255,255,255
310,941.822,255,255,255
311,239.193,255,255,255
312,358.789,255,255,255
313,1076.367,255,255,255
314,418.587,255,255,255
315,336.365,255,255,255
316,403.638,255,255,255
317,478.386,255,255,255
318,313.941,255,255,255
319,276.567,255,255,255
320,515.759,255,255,255
321,448.486,255,255,255
322,216.768,255,255,255
323,1629.501,255,255,255
324,478.386,255,255,255
325,44.849,255,255,255
326,470.911,255,255,255
327,844.649,255,255,255
328,926.872,255,255,255
329,1151.115,255,255,255
330,366.264,255,255,255
331,1524.854,255,255,255
332,388.688,255,255,255
333,321.415,255,255,255
334,1225.863,255,255,255
335,1113.741,255,255,255
336,59.798,255,255,255
337,433.537,255,255,255
338,777.377,255,255,255
339,269.092,255,255,255
340,254.142,255,255,255
341,964.246,255,255,255
342,478.386,255,255,255
343,560.608,255,255,255
344,642.831,255,255,255
345,687.679,255,255,255
346,336.365,255,255,255
347,1704.249,255,255,255
348,1240.813,255,255,255
349,485.860,255,255,255
350,657.780,255,255,255
351,889.498,255,255,255
352,515.759,255,255,255
353,343.840,255,255,255
354,725.053,255,255,255
355,426.062,255,255,255
356,112.122,255,255,255
357,919.397,255,255,255
358,441.012,255,255,255
359,1509.904,255,255,255
360,1218.388,255,255,255
361,343.840,255,255,255
362,545.659,255,255,255
363,261.617,255,255,255
364,852.124,255,255,255
365,2384.453,255,255,255
366,418.587,255,255,255
367,343.840,255,255,255
368,396.163,255,255,255
369,343.840,255,255,255
370,396.163,255,255,255
371,366.264,255,255,255
